單位屬性,主辦單位,所屬單位,ID,活動名稱,活動說明,活動屬性,類別,點數,開始日期/時間,結束日期/時間,報名方式,活動地點,主講人,主講人介紹,主持人,主持人介紹,主辦單位.1,聯絡人,開放對象,關鍵字標籤,Unnamed: 32
學術,藝術學院,CRM 藝術學院／郭亮玎,16549,藝術學院週三藝術之夜:紀錄片拍攝甘苦談-蒐藏電影的人紀錄片分享,邀請蒐藏電影的人紀錄片導演李建成導演,"全人學習,",美,2,2021-10-27 18:30:00,2021-10-27 20:30:00,自由參加,校內：曉峰紀念館 10樓 曉峰1005曉峰音樂廳,李建成 導演,,,,藝術學院,郭亮玎秘書,不限身分,"講座,藝文,紀錄片，蒐藏電影的人,",
A155,慧智學社,生命關懷類,16548,"[代匯入-智慧學社主辦]佛法與生活講座
-精進料理與禪之藝術",以精緻、養生、調食做出禪意及健康的美食。,全人學習,德,2,2022-01-05 19:00:00,2022-01-05 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16547,"[代匯入-智慧學社主辦]佛法與生活講座
-花道",以八正道插出供佛的花，圓滿人生。,全人學習,德,2,2021-12-29 19:00:00,2021-12-29 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16546,"[代匯入-智慧學社主辦]佛法與生活講座
-日本職人精神與禪",用六度波羅蜜成為獨特的職人。,全人學習,德,2,2021-12-22 19:00:00,2021-12-22 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16545,"[代匯入-智慧學社主辦]佛法與生活講座
-品牌及實用物品的設計",以智慧設計物品，提升美感及實用性。,全人學習,德,2,2021-12-15 19:00:00,2021-12-15 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16544,"[代匯入-智慧學社主辦]佛法與生活講座
-禪建築之美",以佛法提升建築品質。,全人學習,德,2,2021-12-08 19:00:00,2021-12-08 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16543,"[代匯入-智慧學社主辦]佛法與生活講座
-日本禪寺簡介及旅遊",分享日本行住坐臥中佛法。,全人學習,德,2,2021-12-01 19:00:00,2021-12-01 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16542,"[代匯入-智慧學社主辦]佛法與生活講座
-茶道",藉由茶道中的禪意提升心量及定力。,全人學習,德,2,2021-11-24 19:00:00,2021-11-24 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16541,"[代匯入-智慧學社主辦]佛法與生活講座
-歌曲中的禪味",藉由歌曲中的禪意，讓你更了解佛法如何運用在生活中。,全人學習,德,2,2021-11-03 19:00:00,2021-11-03 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16540,[代匯入-智慧學社主辦]百味供活動,透過佛誕活動，讓大家學習佛菩薩他們的智慧與慈悲，利益眾生，讓大家瞭解學佛的好處。,全人學習,德,2,2021-11-01 11:00:00,2021-11-01 13:00:00,線上報名(詳見活動網址),慧智學社社辦(華岡路一巷8號),特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16539,"[代匯入-智慧學社主辦]佛法與生活講座
-日本動漫中的禪意",藉由日本動漫中的禪意，讓你更了解佛法如何運用在日常生活中。,全人學習,德,2,2021-10-27 19:00:00,2021-10-27 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
A155,慧智學社,生命關懷類,16538,"[代匯入-智慧學社主辦]佛法與生活講座
-你想創業嗎？",以佛法讓你心想事成。,全人學習,德,2,2021-10-20 19:00:00,2021-10-20 20:00:00,線上報名(詳見活動網址),googlemeet線上,特聘講師,,,,文化大學慧智學社,慧智學社行政林宣宏_0926896067/0978166336a155@pccu.edu.tw,,社團、佛法、生活、健康、心理、美,
行政,學生諮商中心,CUFAK 諮商中心／9800956 王蔚竣,16520,110(1)自我探索成長團體-撥開團團迷霧,藉由自我成長團體中的分享與回饋，協助學生增加自我了解、及培養良好的人際互動能力，以增加其對自我有更多的認識與成長。,"全人學習,",體,8,2021-10-21 16:00:00,2021-12-16 18:00:00,洽主辦單位,校內：大孝館 2樓 孝205學務處學生諮商中心,劉家瑜 實習諮商心理師,,,,學生諮商中心,學生諮商中心 王蔚竣老師，#12602,"學生,","健康,自我成長團體,自我探索,",
行政,學生諮商中心,CUFAK 諮商中心／9800956 王蔚竣,16519,110(1)人際關係探索成長團體-關於我們的旅行,藉由自我成長團體中的分享與回饋，協助學生增加自我了解、及培養良好的人際互動能力，以增加其對自我有更多的認識與成長。,"全人學習,",體,8,2021-10-18 16:00:00,2021-12-13 18:00:00,洽主辦單位,校內：大孝館 2樓 孝205學務處學生諮商中心,王逸然 實習諮商心理師,,,,學生諮商中心,學生諮商中心 王蔚竣老師，#12602,"學生,","健康,自我成長團體,人際關係,",
行政,學務處,CUFA 學務處／A702343 潘平柔,16516,110學年度第1學期原住民原力共融迎新活動,"本次活動原資中心與文大社團原薪社的學長姐舉辦，帶領大一新生們從破冰遊戲打破彼此距離，並安排前往福音園體驗活動增進團隊合作之默契，並透過肢體美學與文化交織認同自己與他族文化。

報名網址：
https://reurl.cc/Gbo77Z
","全人學習,",美,4,2021-10-30 15:00:00,2021-10-30 21:00:00,線上報名(詳見活動網址),校外：福音園:台北市士林區仰德大道二段200號,,,,,原住民族學生資源中心,原資中心潘平柔小姐，#12702，ppr@ulive.pccu.edu.tw,"學生,","原住民,",
行政,學務處,CUFA 學務處／A702343 潘平柔,16515,110學年度第1學期原住民原力共融迎新活動,"本次活動原資中心與文大社團原薪社的學長姐舉辦，帶領大一新生們從破冰遊戲打破彼此距離，並安排前往福音園體驗活動增進團隊合作之默契，並透過肢體美學與文化交織認同自己與他族文化。

報名網址：
https://reurl.cc/Gbo77Z
","全人學習,",群,4,2021-10-30 09:00:00,2021-10-30 15:00:00,線上報名(詳見活動網址),校外：福音園:台北市士林區仰德大道二段200號,,,,,原住民族學生資源中心,原資中心潘平柔小姐，#12702，ppr@ulive.pccu.edu.tw,"學生,","原住民,",
